seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2089,d72795a1f56372da,success,63.24,427.7378560485417,0.4512015226554851,11,23.99232135713027,25.738971794901975,-0.22438206561119445,4.861742328001128
2090,31a16d6807cb3bb8,success,56.160000000000004,322.5604825728068,0.3244239914407146,7,19.06456702123635,21.079651271532946,-0.23019813900701094,4.255400157999247
2091,d9782a03567ed19d,success,45.32,212.55077172228567,0.39982389665297574,8,17.13253088315661,25.909227000388807,-0.23677229157616891,3.5509925410005962
2092,07a05143ba1b6997,success,46.04,335.62375472430864,0.3829829816871536,5,20.49190955569606,22.23776915600316,-0.2703422273018289,3.910112223999022
2093,f94bee32a049ed56,success,77.64,434.7397786036324,0.41142860853690966,11,18.561586238759368,20.36218371973441,-0.1673888524954637,11.491588568002044
2094,974e4b10326af670,success,51.96,269.93001312139324,0.37192720613468105,6,20.455626278266124,21.747816145803455,-0.20606505627179061,4.057745744998101
2095,3376f9a3a65e63b8,success,57.76,374.2135659298271,0.34244136945197173,7,18.986300517013202,19.39138205989936,-0.16664772301219485,5.303844343001401
2096,6cfc75866f591698,success,43.96,229.19772688603777,0.3151877722507652,6,18.067845575524657,16.65720473239883,-0.18123587324876383,3.17401697799869
2097,d696433efb43ef84,success,51.800000000000004,297.8033619908064,0.29513582568214275,7,13.64020076155467,23.666745587226295,-0.1019446902793102,4.1056479059989215
2098,ec8c882b49a6de4f,success,45.12,318.7706018048805,0.47444555717151227,9,17.2005894128038,18.396785180308207,-0.18976615333939692,4.857742507996591
2099,08437a55383e85cd,success,38.56,145.34365876944568,0.23179115273467005,2,12.7960116053817,13.71439483040132,-0.1667282338156872,3.468900215000758
2100,7163b4f97f11d976,success,82.04,563.1750604511333,0.38873862121296937,15,20.807890706370603,27.74570746067035,-0.19808318325466318,6.546294546002173
2101,22a77942c40840f8,success,59.52,451.18732367356876,0.5053809594550328,8,24.086696131789495,35.00929744992,-0.24124896105835547,5.64536678299919
2102,b723c7670f4bed36,success,44.2,245.7258545164625,0.4538695251340024,8,14.268265362456104,19.485293197664877,-0.16908841705927685,3.0788977459997113
2103,ef19c4d69d8290c9,success,47.64,256.6271299150951,0.3512172319696392,5,17.945442175336712,24.91342083836552,-0.15844322244584247,3.4556966300006025
2104,153024dcc40f6683,success,45.800000000000004,275.2629454550255,0.26433353036110624,5,18.92362362083314,18.55731207485319,-0.25937886846659836,3.3347408449990326
