seed,map_hash,outcome,time_s,cumulative_turn_deg,steering_tv_per_s,yaw_reversals,peak_yaw_deg_s,peak_yaw_accel_deg_s2,min_circle_clearance_m,compute_s
2039,224a2563a528dcef,success,48.92,409.5006762388784,0.21711301122497362,15,66.91191404335243,285.20365751677645,-0.26301597595214843,1.7496386380007607
2040,73172fd07e7d130a,success,51.64,615.9219824187278,0.3241412537453781,14,66.24380402766806,284.0757530106639,-0.223031005859375,1.8344080850001774
2041,9dc84f06747ead01,success,49.56,409.4133512101758,0.1834040886141462,13,37.35379149143398,179.26785134641977,-0.10581748962402343,1.5681341870003962
2042,48507b7ba1432f34,success,50.6,508.46271077242454,0.21598534422959734,11,60.20438268516829,285.1945635846716,-0.20190872192382814,1.5111625329991512
2043,f268b69a88f5da60,success,51.2,442.36879295787986,0.18245144077809528,10,51.480389256203665,285.204825209094,-0.3151355743408203,1.6712488500015752
2044,a27acb2a182e3b10,success,49.28,285.65197306009446,0.14575282104676981,12,37.64783279670557,226.8795337011554,-0.29412940979003904,1.5970495130022755
2045,56f5121d3474f6ee,success,53.76,588.5933111207745,0.3108187960996085,14,60.85060444379909,295.75652197981583,-0.2570133972167969,1.915940655999293
2046,d07980823fdabc68,success,46.0,368.53056901685153,0.1503671078497301,12,40.60006748244501,149.17830544732152,-0.049528884887695315,1.6096173989972158
2047,2aa8b317a2e15237,success,50.52,370.4029944962196,0.18945191895606928,12,59.8105228141441,285.2031591124738,-0.2304547119140625,1.7556034570006886
2048,1394c719da189000,success,44.04,307.63988649923664,0.11935072708248984,13,25.220531783119114,103.29983419571248,-0.11725616455078125,1.3125967289997789
2049,9c8a6ec7ab9f2ca9,success,48.800000000000004,362.2898109189682,0.17938963564105148,14,55.473579011676634,285.2050202193558,-0.316634521484375,1.6044172719994094
2050,23b90787a29e0e05,success,52.56,504.833437692277,0.21876595900897247,14,67.85281485912098,285.2030610899765,-0.28355255126953127,1.8873152870000922
2051,c27fa374bd00b2d4,success,49.0,431.64569526614775,0.2397347560950688,15,49.56019749735345,221.16766324610012,-0.18609275817871093,1.5919050090014935
2052,cca680d4a663473e,collision,22.44,139.23148850232997,0.3166471061598901,11,40.996593346228835,285.2056155164031,-0.2575769805908203,0.6766196179996768
2053,fb2d7ecb9370ff93,success,51.32,552.8754233718734,0.2577711994282826,11,58.02721751639485,213.9710209393143,-0.2831092834472656,1.7302427729991905
2054,c84c94f1dee05fe1,success,47.04,378.6234418124949,0.1748324519695063,12,25.055634959873068,97.29210868274176,-0.05811500549316406,1.6881789779981773
