x,y,theta,v,omega,distance,heading_error,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8
307.5588793706686,97.56619894660211,0.1354648249210199,4.0,0.0,642.4457306753923,-0.13167647867062826,1.0,0.7676768,0.2929293,0.3131313,1.0,1.0,1.0,1.0,0.85858583
311.5222340235804,98.10640251493747,0.1354648249210199,4.0,0.0,638.4805739861433,-0.13249903341818414,1.0,0.7171717,0.27272728,0.2929293,1.0,1.0,1.0,1.0,0.85858583
315.48558867649217,98.64660608327283,0.23546482492101992,4.0,0.1,634.5158546894723,-0.2333318680643278,1.0,0.25252524,0.25252524,0.9191919,1.0,1.0,1.0,0.9292929,0.7979798
319.37521269670174,99.57978612024785,0.23546482492101992,4.0,0.0,630.6249273070601,-0.23479847969320988,1.0,0.22222222,0.23232323,0.8888889,1.0,1.0,1.0,0.9191919,0.7878788
323.2648367169113,100.51296615722286,0.1354648249210199,4.0,-0.1,626.7353732076707,-0.136283298293394,1.0,0.2020202,0.2020202,1.0,1.0,1.0,1.0,1.0,0.83838385
327.2281913698231,101.05316972555822,0.23546482492101992,4.0,0.1,622.7726991374723,-0.23715592382274686,0.18181819,0.18181819,0.2020202,0.83838385,1.0,1.0,1.0,0.8989899,0.7777778
331.11781539003266,101.98634976253324,0.23546482492101992,4.0,0.0,618.885372272592,-0.23867439047526426,0.16161616,0.16161616,1.0,0.8080808,1.0,1.0,1.0,0.8989899,0.7676768
335.0074394102422,102.91952979950825,0.3354648249210199,4.0,0.1,614.9994904347459,-0.3402120496110703,0.14141414,0.16161616,1.0,1.0,1.0,1.0,0.97979796,0.8181818,0.72727275
338.7844689602784,104.23636227866179,0.3354648249210199,4.0,0.0,611.2302120719531,-0.34239575881924816,0.13131313,1.0,0.8080808,1.0,1.0,1.0,0.959596,0.8080808,0.7171717
342.56149851031455,105.55319475781532,0.23546482492101992,4.0,-0.1,607.4638845759087,-0.24460655704286605,0.121212125,1.0,1.0,0.7373737,1.0,1.0,1.0,0.85858583,0.74747473
346.4511225305241,106.48637479479034,0.1354648249210199,4.0,-0.1,603.58373118619,-0.14621146919524813,0.11111111,1.0,1.0,0.72727275,1.0,1.0,1.0,0.94949496,0.7878788
350.4144771834359,107.0265783631257,0.035464824921019905,4.0,-0.1,599.6266938476853,-0.047183347890698404,0.1010101,0.53535354,1.0,1.0,0.68686867,1.0,1.0,1.0,0.8484849
354.41196193946894,107.16840792733413,0.035464824921019905,4.0,0.0,595.6311754374558,-0.0475000931883992,0.4848485,1.0,1.0,1.0,0.65656567,1.0,1.0,1.0,0.8484849
358.40944669550197,107.31023749154257,0.1354648249210199,4.0,0.1,591.635717592595,-0.14782111663254036,0.47474748,1.0,1.0,0.6363636,1.0,1.0,1.0,0.93939394,0.7777778
362.37280134841376,107.85044105987792,0.1354648249210199,4.0,0.0,587.6796355327837,-0.14882359062248282,0.47474748,1.0,1.0,0.61616164,1.0,1.0,1.0,0.9292929,0.7777778
